MasterLabel,DeveloperName,Full_Name__c,ProtectedComponent
Alabama,AL,Alabama,false
Alaska,AK,Alaska,false
Arizona,AZ,Arizona,false
Arkansas,AR,Arkansas,false
California,CA,California,false
Colorado,CO,Colorado,false
Connecticut,CT,Connecticut,false
Delaware,DE,Delaware,false
District of Columbia,DC,District of Columbia,false
Florida,FL,Florida,false
Georgia,GA,Georgia,false
Hawaii,HI,Hawaii,false
Idaho,ID,Idaho,false
Illinois,IL,Illinois,false
Indiana,IN,Indiana,false
Iowa,IA,Iowa,false
Kansas,KS,Kansas,false
Kentucky,KY,Kentucky,false
Louisiana,LA,Louisiana,false
Maine,ME,Maine,false
Maryland,MD,Maryland,false
Massachusetts,MA,Massachusetts,false
Michigan,MI,Michigan,false
Minnesota,MN,Minnesota,false
Mississippi,MS,Mississippi,false
Missouri,MO,Missouri,false
Montana,MT,Montana,false
Nebraska,NE,Nebraska,false
Nevada,NV,Nevada,false
New Hampshire,NH,New Hampshire,false
New Jersey,NJ,New Jersey,false
New Mexico,NM,New Mexico,false
New York,NY,New York,false
North Carolina,NC,North Carolina,false
North Dakota,ND,North Dakota,false
Ohio,OH,Ohio,false
Oklahoma,OK,Oklahoma,false
Oregon,OR,Oregon,false
Pennsylvania,PA,Pennsylvania,false
Rhode Island,RI,Rhode Island,false
South Carolina,SC,South Carolina,false
South Dakota,SD,South Dakota,false
Tennessee,TN,Tennessee,false
Texas,TX,Texas,false
Utah,UT,Utah,false
Vermont,VT,Vermont,false
Virginia,VA,Virginia,false
Washington,WA,Washington,false
West Virginia,WV,West Virginia,false
Wisconsin,WI,Wisconsin,false
Wyoming,WY,Wyoming,false
